Project_Name,Version ,commit id,bugs,Statement_Coverage,Branch_Coverage,LOC,Churned_Code,DD,Relative_Churned
Project 1 - Apache Commons Configuration,,,,,,,,,
Project 1 - Apache Commons Configuration,,,,,,,,,
Project 1 - Apache Commons Configuration,,,,,,,,,
Project 2 - Apache Commons Codec,1.1,e9da3d1,26,96,92,19269,153,1.349317557,0.00794
Project 2 - Apache Commons Codec,1.11,9ceef22,6,96,91,21827,0,0.274888899,0
Project 2 - Apache Commons Codec,1.12,0082c9e,3,96,89,21827,1063,0.134174158,0.047542
Project 3 - Apache Commons Collections,,,,,,,,,
Project 3 - Apache Commons Collections,,,,,,,,,
Project 3 - Apache Commons Collections,,,,,,,,,
Project 4 - Apache Commons Math,,,,,,,,,
Project 4 - Apache Commons Math,,,,,,,,,
Project 4 - Apache Commons Math,,,,,,,,,
Project 5 - Apache Commons Pool,,,,,,,,,
Project 5 - Apache Commons Pool,,,,,,,,,
Project 5 - Apache Commons Pool,,,,,,,,,
